temperature,time,material,yield
7.739560485559633,29.094505373483017,B,38.916485119745786
4.388784397520523,53.29934483581536,B,87.21273489638362
8.585979199113824,35.88365443356189,C,34.48365984701531
6.973680290593639,66.88697962777573,A,52.68488866420043
0.9417734788764953,50.600634321063154,C,65.6628778918202
9.756223516367559,78.28747372404862,A,27.01205767081332
7.61139701990353,69.01855714015744,B,54.56481450271691
7.860643052769538,41.86566489674287,B,66.4065217892287
1.2811363267554587,78.25818609766407,C,37.39841299606149
4.503859378955672,76.33350502477613,B,52.51362350622247
3.7079802423258124,47.12348653211221,A,92.05811059373038
9.267649888486018,40.182967275117086,A,41.20669031579838
6.438651200806645,67.77468527824828,B,74.47675396835523
8.227616132708299,29.782673852651687,C,16.2517238433699
4.4341419882733115,33.993574173257585,A,59.57632085793124
2.272387217847769,20.515358882570386,C,-5.000139053427379
5.545847870158348,75.08470642514969,B,59.804885632715155
0.6381725610417532,66.53955996144225,A,59.073348651964835
8.27631171992582,69.36157650384345,A,49.43778200263911
6.316643991220649,74.65103217153775,B,61.623977234658305
7.580877400853739,52.1241042876838,A,63.33934788027126
3.545259681298684,59.81188371670256,A,75.32068747890389
9.706980243949033,29.78578986893602,B,12.868621097270278
8.931211213221976,28.01710514751814,C,7.653337618660235
7.783834970737619,66.78820732533302,A,48.63598646852058
1.9463870785196757,52.97673443001928,A,81.32661182869455
4.667210037270342,59.56652745368322,A,86.55537162148691
0.43803765787228777,73.5499200191218,B,57.88914658003986
1.5428949206754783,64.43028240004136,C,73.2900174931756
6.830489532424546,58.75055804605971,C,70.254417539438
7.447621559078171,59.14450125217895,C,58.7757435474135
9.6750973243421,41.27650686438285,C,60.97464594691712
3.2582535813815197,22.15724841975576,A,28.230568507032977
3.704597060348689,50.570217246265365,A,96.97733937976777
4.695558112758079,35.02092709736704,B,58.05453650853212
1.894713590842857,48.59700506072453,C,68.37681065580428
